0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 476 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 1158 0
35 0 308 840
36 0 0 534
37 0 898 328
38 0 259 0
39 0 0 1002
40 0 0 367
41 0 0 253
42 0 534 5436
43 0 0 1672
44 0 0 2019
45 0 0 0
46 0 927 4379
47 0 0 875
48 0 0 485
49 0 735 1075
50 0 365 5085
51 0 0 2227
52 0 2125 2811
53 1696 0 4476
54 0 840 1617
55 0 2074 7715
56 0 829 2017
57 0 0 4434
58 0 712 10630
59 0 1276 5651
60 0 1694 13833
61 0 0 2623
62 0 1021 744
63 0 4352 16085
64 2463 4879 2580
65 2123 412 9671
66 0 0 5974
67 0 467 1791
68 0 1541 3500
69 0 1232 2238
70 0 2825 1517
71 2144 3676 1510
72 1797 7231 4593
73 0 12303 8197
74 1336 1769 2033
75 0 1336 449
76 0 2353 1247
77 559 372 3354
78 0 10459 3580
79 328 1016 3642
80 6109 4186 1761
81 840 2016 2352
82 1646 1549 1342
83 0 2031 1472
84 0 2794 1736
85 2019 6981 5054
86 0 6589 2952
87 9203 1986 3427
88 1550 0 1237
89 0 5510 0
90 875 0 2302
91 0 1587 5627
92 0 4927 1260
93 9811 5825 4269
94 0 0 2640
95 0 5990 2891
96 1672 3638 5434
97 1058 4163 2943
98 0 1039 0
99 2623 2329 1011
100 0 2047 1239
101 620 9517 1161
102 1786 1577 255
103 692 936 0
104 0 1830 0
105 0 704 1670
106 0 3664 0
107 2233 4111 1636
108 8407 4764 675
109 1969 1679 281
110 1629 3759 863
111 2855 0 3254
112 0 3670 916
113 0 845 1003
114 4843 3021 836
115 4406 528 0
116 1667 1920 1802
117 0 2814 440
118 0 4718 718
119 0 2465 408
120 0 863 0
121 3977 941 873
122 744 2318 0
123 2750 5810 0
124 1445 1837 3322
125 3869 0 0
126 1683 657 4873
127 1477 0 412
128 2293 3939 315
129 0 909 0
130 1884 785 0
131 1923 1048 0
132 1039 499 605
133 0 1442 92
134 0 0 681
135 0 1490 1302
136 317 2186 1075
137 2178 0 1761
138 6160 0 528
139 4697 623 0
140 3534 1539 175
141 0 0 1365
142 1232 0 233
143 2606 0 0
144 3261 0 589
145 563 175 0
146 0 387 613
147 0 1838 388
148 3057 2250 0
149 5182 0 0
150 1682 939 402
151 1510 1013 0
152 468 358 633
153 0 0 775
154 1942 0 238
155 3154 0 0
156 1430 190 401
157 1001 0 1286
158 368 436 0
159 1891 0 0
160 2076 575 856
161 821 842 160
162 2126 0 0
163 1175 0 0
164 2233 0 835
165 2016 251 365
166 0 997 0
167 4885 0 328
168 4805 0 0
169 1336 0 0
170 3479 0 0
171 0 1784 0
172 1188 281 0
173 1736 160 0
174 0 0 0
175 4495 0 0
176 0 341 623
177 3608 494 507
178 976 1518 307
179 2165 0 0
180 3127 0 0
181 0 0 1195
182 763 512 902
183 0 0 0
184 1695 256 0
185 1107 2009 374
186 863 0 0
187 790 0 0
188 381 0 621
189 1181 328 0
190 1528 0 0
191 675 957 0
192 2121 0 0
193 1684 87 0
194 0 0 685
195 1584 0 0
196 785 307 0
197 824 1301 0
198 0 0 1088
199 1761 0 0
200 1267 0 118
201 0 118 0
202 0 378 512
203 504 0 574
204 1662 0 0
205 190 0 0
206 643 238 0
207 728 1662 254
208 505 915 444
209 528 0 0
210 1504 0 0
211 0 0 0
212 1672 0 0
213 0 194 0
214 806 0 0
215 0 0 0
216 1265 0 2442
217 1307 773 0
218 321 940 0
219 160 0 0
220 722 1066 2339
221 837 1695 0
222 221 0 278
223 1306 278 1028
224 0 0 0
225 387 1994 0
226 457 2124 0
227 358 0 0
228 966 0 0
229 1347 450 0
230 575 4224 416
231 238 0 0
232 801 0 0
233 1565 0 0
234 0 0 0
235 0 0 0
236 2030 0 0
237 1754 0 0
238 0 605 0
239 1793 0 0
240 852 2638 0
241 1485 374 0
242 378 0 0
243 773 0 0
244 1553 0 0
245 278 0 0
246 4333 0 0
247 7800 2145 0
248 2124 0 0
249 633 0 0
250 574 1028 0
251 605 0 0
252 0 0 0
253 0 254 0
254 0 0 0
255 2072 416 0
