2 pixel de valeur: 0
1 pixel de valeur: 9
1 pixel de valeur: 14
1 pixel de valeur: 17
18 pixel de valeur: 22
4 pixel de valeur: 23
13 pixel de valeur: 24
5 pixel de valeur: 25
6 pixel de valeur: 26
23 pixel de valeur: 27
17 pixel de valeur: 28
5 pixel de valeur: 29
6 pixel de valeur: 30
20 pixel de valeur: 31
13 pixel de valeur: 32
9 pixel de valeur: 33
6 pixel de valeur: 34
4 pixel de valeur: 35
4 pixel de valeur: 36
18 pixel de valeur: 37
8 pixel de valeur: 38
8 pixel de valeur: 39
8 pixel de valeur: 40
10 pixel de valeur: 41
18 pixel de valeur: 42
25 pixel de valeur: 43
13 pixel de valeur: 44
16 pixel de valeur: 45
18 pixel de valeur: 46
21 pixel de valeur: 47
24 pixel de valeur: 48
28 pixel de valeur: 49
22 pixel de valeur: 50
15 pixel de valeur: 51
20 pixel de valeur: 52
13 pixel de valeur: 53
12 pixel de valeur: 54
12 pixel de valeur: 55
15 pixel de valeur: 56
15 pixel de valeur: 57
10 pixel de valeur: 58
14 pixel de valeur: 59
11 pixel de valeur: 60
9 pixel de valeur: 61
14 pixel de valeur: 62
12 pixel de valeur: 63
16 pixel de valeur: 64
17 pixel de valeur: 65
12 pixel de valeur: 66
9 pixel de valeur: 67
10 pixel de valeur: 68
16 pixel de valeur: 69
11 pixel de valeur: 70
6 pixel de valeur: 71
5 pixel de valeur: 72
6 pixel de valeur: 73
16 pixel de valeur: 74
17 pixel de valeur: 75
4 pixel de valeur: 76
8 pixel de valeur: 77
6 pixel de valeur: 78
7 pixel de valeur: 79
8 pixel de valeur: 80
11 pixel de valeur: 81
5 pixel de valeur: 82
4 pixel de valeur: 83
6 pixel de valeur: 84
7 pixel de valeur: 85
5 pixel de valeur: 86
5 pixel de valeur: 87
5 pixel de valeur: 88
7 pixel de valeur: 89
10 pixel de valeur: 90
7 pixel de valeur: 91
10 pixel de valeur: 92
6 pixel de valeur: 93
21 pixel de valeur: 94
5 pixel de valeur: 95
6 pixel de valeur: 96
1 pixel de valeur: 97
2 pixel de valeur: 98
1 pixel de valeur: 99
2 pixel de valeur: 100
2 pixel de valeur: 101
2 pixel de valeur: 102
2 pixel de valeur: 103
1 pixel de valeur: 104
2 pixel de valeur: 106
1 pixel de valeur: 107
1 pixel de valeur: 108
4 pixel de valeur: 109
7 pixel de valeur: 110
5 pixel de valeur: 111
4 pixel de valeur: 112
2 pixel de valeur: 113
2 pixel de valeur: 114
3 pixel de valeur: 115
2 pixel de valeur: 116
2 pixel de valeur: 117
2 pixel de valeur: 118
2 pixel de valeur: 119
2 pixel de valeur: 120
1 pixel de valeur: 121
2 pixel de valeur: 122
1 pixel de valeur: 123
2 pixel de valeur: 124
2 pixel de valeur: 125
2 pixel de valeur: 126
2 pixel de valeur: 128
2 pixel de valeur: 130
1 pixel de valeur: 131
1 pixel de valeur: 132
1 pixel de valeur: 133
2 pixel de valeur: 134
2 pixel de valeur: 135
3 pixel de valeur: 136
4 pixel de valeur: 137
4 pixel de valeur: 138
3 pixel de valeur: 139
