0	59
1	23
2	4
3	5
4	6
5	2
6	3
7	6
8	2
9	1
10	2
11	3
12	2
13	6
14	3
16	3
17	5
18	4
19	3
20	4
21	1
22	3
24	4
25	2
26	1
27	1
29	4
30	3
31	1
32	3
33	3
34	4
35	3
36	11
37	4
38	7
39	10
40	6
41	9
42	5
43	6
44	7
45	6
46	4
47	6
48	9
49	10
50	7
51	7
52	3
53	3
54	2
55	4
56	1
57	1
58	1
59	2
60	2
61	2
62	4
63	2
64	1
65	3
66	1
67	1
68	2
69	2
70	2
71	5
72	2
73	4
74	2
76	1
77	2
78	2
79	1
80	1
81	2
82	3
83	4
84	2
85	5
86	2
87	3
89	2
90	1
91	2
92	4
93	1
94	3
95	6
96	4
97	9
98	6
99	5
100	5
101	4
102	4
103	7
104	9
106	13
107	10
108	8
109	6
110	2
111	1
112	3
113	3
114	1
115	5
116	1
117	1
118	3
119	1
120	2
121	1
122	1
123	2
124	1
125	1
126	1
127	1
128	1
129	1
131	3
133	2
136	1
138	2
139	2
140	2
141	3
142	2
144	1
145	2
146	1
147	1
149	1
151	2
152	1
154	1
155	2
156	3
157	2
158	3
160	2
161	3
162	1
163	2
167	1
170	1
174	1
180	1
186	3
187	1
191	1
193	1
194	1
195	2
196	3
197	1
198	1
200	2
201	2
203	2
204	3
206	2
207	2
208	2
210	2
211	3
212	1
213	2
214	1
215	3
216	1
219	1
221	1
223	1
224	1
225	1
226	2
227	1
228	1
231	1
232	2
233	1
235	1
237	1
238	1
241	2
243	1
245	1
246	1
247	1
252	1
255	4
