0	18
1	76
2	53
3	38
4	16
5	17
6	5
7	15
8	12
9	10
10	8
11	6
12	15
13	3
14	9
15	5
16	9
17	10
18	7
19	6
20	3
21	4
22	4
23	6
24	8
25	3
26	5
27	6
28	7
29	9
30	4
31	6
32	7
33	7
34	6
35	6
36	6
37	6
38	5
39	6
40	5
41	3
42	3
43	2
44	3
45	2
46	9
47	4
48	6
49	6
50	6
51	5
52	6
53	2
54	3
55	3
56	4
57	3
58	1
59	2
60	2
61	4
62	3
63	2
64	5
65	3
66	3
68	4
69	3
70	3
71	1
73	4
74	1
76	1
77	2
78	3
79	5
80	1
81	1
83	3
85	1
86	1
87	1
88	2
89	2
90	2
94	1
95	2
97	3
99	1
101	1
103	1
105	1
106	2
108	1
115	1
116	2
117	3
125	1
126	1
130	2
132	1
133	1
137	1
140	3
143	1
147	1
152	1
155	1
159	1
161	1
167	1
177	1
180	1
197	1
211	1
